6	49	94.2838	Mod
6	50	94.1981	Mod
7	49	94.3806	Mod
7	50	94.3773	Mod
9	30	94.0556	Mod
9	31	94.0411	Mod
10	30	94.0946	Mod
10	31	94.0423	Mod
13	49	91.2509	Mod
13	50	91.3222	Mod
14	49	91.2621	Mod
14	50	91.439	Mod
54	564	-67.7505	Mod
54	565	-64.7911	Mod
55	564	-70.1278	Mod
55	565	-65.6292	Mod
56	526	-3.29495	Mod
56	527	-12.0229	Mod
57	239	65.2575	Mod
57	240	66.5808	Mod
57	284	42.5161	Mod
57	285	41.0036	Mod
57	297	56.0944	Mod
57	298	54.6831	Mod
57	366	86.5086	Mod
57	367	86.267	Mod
57	526	-12.1587	Mod
57	527	-19.206	Mod
58	239	59.3543	Mod
58	240	59.4667	Mod
58	284	35.5645	Mod
58	285	34.5995	Mod
58	297	54.0265	Mod
58	298	50.219	Mod
58	366	85.8185	Mod
58	367	85.6315	Mod
59	118	94.5053	Mod
59	119	94.503	Mod
60	118	94.5208	Mod
60	119	94.4941	Mod
113	241	53.382	Mod
113	242	51.4388	Mod
114	241	55.8083	Mod
114	242	52.2257	Mod
120	241	43.5567	Mod
120	242	41.5946	Mod
121	241	42.7476	Mod
121	242	41.1483	Mod
150	239	57.1751	Mod
150	240	54.6831	Mod
151	239	55.4711	Mod
151	240	56.475	Mod
180	238	77.3132	Mod
180	239	77.0249	Mod
181	238	77.6493	Mod
181	239	77.2787	Mod
240	285	68.6865	Mod
240	286	66.425	Mod
240	298	64.9124	Mod
240	299	65.2953	Mod
240	368	39.2262	Mod
240	369	39.7014	Mod
240	411	17.6812	Mod
240	412	14.8176	Mod
240	422	8.4981	Mod
240	423	11.9572	Mod
241	285	69.716	Mod
241	286	67.657	Mod
241	298	66.425	Mod
241	299	65.2953	Mod
241	368	41.4465	Mod
241	369	41.7537	Mod
241	411	13.0913	Mod
241	412	18.2789	Mod
241	422	16.7808	Mod
241	423	11.5977	Mod
286	368	85.2375	Mod
286	369	85.3399	Mod
286	411	48.3036	Mod
286	412	43.1538	Mod
286	420	55.263	Mod
286	421	54.0265	Mod
286	526	15.4119	Mod
286	527	10.5805	Mod
287	368	85.0828	Mod
287	369	85.3177	Mod
287	411	46.5395	Mod
287	412	44.9913	Mod
287	420	52.9179	Mod
287	421	52.002	Mod
287	526	19.2349	Mod
287	527	11.9572	Mod
299	368	76.3527	Mod
299	369	75.2742	Mod
299	410	41.7537	Mod
299	411	37.7181	Mod
299	420	36.5372	Mod
299	421	34.6874	Mod
299	526	46.0186	Mod
299	527	45.9407	Mod
300	368	77.2063	Mod
300	369	75.7472	Mod
300	410	39.9663	Mod
300	411	38.8399	Mod
300	420	35.2851	Mod
300	421	33.5066	Mod
300	526	44.6341	Mod
300	527	43.727	Mod
370	410	86.0812	Mod
370	411	85.429	Mod
370	420	92.3227	Mod
370	421	92.0968	Mod
370	526	72.8301	Mod
370	527	71.2297	Mod
371	410	86.326	Mod
371	411	85.7862	Mod
371	420	92.3928	Mod
